"10.80.158.45"
"10.125.57.63"
"10.80.160.60"
"10.80.42.160"
"10.80.42.161"
"10.125.55.22"
"10.80.148.78"
"10.125.55.28"
"10.80.51.254"
"10.125.44.90"
"10.80.146.70"
"10.80.146.78"
"10.80.146.71"
"10.80.146.72"
"10.80.146.75"
"10.80.146.77"
"10.80.140.15"
"10.80.38.115"
"10.14.64.5"
"10.14.64.6"
"10.80.153.39"
"10.80.43.103"
"10.80.146.73"
"10.80.68.212"
"10.80.157.22"
"10.80.76.166"
"10.80.76.164"
"10.125.43.17"
"10.80.161.44"
"10.80.20.203"
"10.80.48.3"
"10.80.2.65"
"10.80.158.69"
"10.80.158.68"
"10.80.158.61"
"10.80.158.60"
"10.80.158.63"
"10.80.158.67"
"10.80.158.65"
"10.80.158.64"
"10.80.69.254"
"10.80.192.30"
"10.80.143.129"
"10.80.143.128"
"10.80.146.128"
"10.125.16.254"
"10.125.62.135"
"10.125.51.127"
"10.80.147.149"
"10.80.147.145"
"10.80.147.148"
"10.80.147.141"
"10.125.15.214"
"10.80.58.88"
"10.80.147.144"
"10.80.151.108"
"10.80.147.146"
"10.80.151.106"
"10.80.147.142"
"10.80.147.147"
"10.166.254.91"
"10.80.58.89"
"10.80.151.103"
"10.80.147.140"
"10.80.151.107"
"10.166.254.92"
"10.125.0.143"
"10.80.74.152"
"10.80.74.156"
"10.80.74.151"
"10.80.70.239"
"10.80.70.230"
"10.80.70.231"
"10.80.147.169"
"10.80.147.168"
"10.80.147.162"
"10.80.147.165"
"10.125.58.254"
"10.80.147.163"
"10.80.147.166"
"10.80.147.161"
"10.80.147.160"
"10.80.147.167"
"10.80.147.164"
"10.80.42.16"
"10.80.146.241"
"10.125.8.23"
"10.125.15.187"
"10.80.70.13"
"10.80.153.37"
"10.80.153.38"
"10.80.153.36"
"10.80.153.35"
"10.80.73.218"
"10.80.73.214"
"10.80.73.219"
"10.80.45.160"
"10.80.45.165"
"10.80.45.167"
"10.80.149.24"
"10.125.5.200"
"10.80.210.64"
"10.80.67.241"
"10.80.67.240"
"10.80.57.220"
"10.80.48.168"
"10.80.48.169"
"10.80.48.163"
"10.80.48.161"
"10.80.146.96"
"10.80.146.95"
"10.80.146.93"
"10.125.14.101"
"10.80.50.61"
